Filtering questions containing the word 'disease'
Total rows kept: 2014

Total unique crop-disease pairs: 1167

===== CROP | DISEASE | COUNT =====
Mushroom | Brown blotch | 3
Mushroom | Drippy gill | 3
Muskmelon | Bacterial wilt | 2
Mustard | Bacterial leaf spot | 1
Mustard | White rust | 3
Napier grass | Head Smut Disease | 1
Napier grass | Napier Grass Stunt Disease | 2
Nectarine | Bacterial dieback of nectarine | 3
Nectarine | Bacterial spot | 1
Nephthytis | Bacterial leaf spot | 2
Nephthytis | Syngonium blight | 1
Okra | Delay planting to allow the soil to warm thoroughly. | 1
Okra | Enation leaf curl disease | 2
Okra | Powdery mildew | 1
Okra | Yellow Vein Mosaic Disease | 3
Olive | Olive knot | 3
Onion | Apply fungicide thoroughly to waxy leaf surfaces. | 1
Onion | Aster yellows | 2
Onion | Avoid bruising and store bulbs below 15°C. | 1
Onion | Bacterial flower stalk and leaf necrosis | 3
Onion | Bacterial leaf streak and bulb rot | 3
Onion | Bacterial soft rot | 3
Onion | Black mold | 3
Onion | Botrytis leaf blight | 3
Onion | Causing physical damage to bulbs during handling. | 1
Onion | Center rot | 3
Onion | Downy mildew | 3
Onion | Enterobacter bulb decay | 1
Onion | Fusarium basal plate rot | 1
Onion | Fusarium damping-off | 1
Onion | Handle bulbs gently and store them below 15°C. | 1
Onion | It colonizes plant through root tips in soil. | 1
Onion | It enters through root tips while the plant grows in soil. | 1
Onion | Mechanical damage to bulbs during handling. | 1
Onion | Moist leaf surfaces and humid conditions at night. | 1
Onion | Moist to wet soil conditions during germination. | 1
Onion | Pink root | 3
Onion | Purple blotch | 3
Onion | Purple-brown concentric lesions with yellow margins. | 1
Onion | Pythium seed rot | 1
Onion | Roots become light pink and later darken to purple. | 1
Onion | Roots start off light pink and gradually shift to a purple color. | 1
Onion | Rotating crops to non-allium species for 3–4 years. | 1
Onion | Rotating with non-allium crops for three to four years. | 1
Onion | Rust | 3
Onion | Slippery skin | 1
Onion | Smut | 2
Onion | Sour skin | 2
Onion | Time watering to allow foliage to dry before nightfall. | 1
Onion | Water early enough so leaves dry before night. | 1
Onion | Wet foliage and humid nights. | 1
Onion | Xanthomonas leaf blight | 3
Onion | Zonate purple-brown leaf lesions with yellow halos. | 1
Orange | Citrus canker | 3
Orange | Citrus greening | 3
Orange | Citrus stubborn disease | 3
Orange | Citrus variegated chlorosis | 3
Orange | Melanose | 2
Orange | Tristeza disease | 3
Orchid | Bacterial brown rot | 2
Orchid | Bacterial bud and petal blight | 2
Orchid | Bacterial leaf blight and rot | 3
Orchid | Bacterial leaf spot | 2
Orchid | Bacterial soft rot | 2
Orchid | Bacterial stem rot | 1
Orchid | Petal blight | 1
Ornithogalum | Basal rot | 1
Panax | Bacterial leaf spot | 1
Papaya | Anthracnose and charcoal spot | 3
Papaya | Bacterial decline | 3
Papaya | Bacterial fasciation | 1
Papaya | Bacterial mushy canker | 1
Papaya | Black rot | 1
Papaya | Black spot | 3
Papaya | Cercospora black spot | 2
Papaya | Dip fruit in hot water at 48°C for 20 minutes | 1
Papaya | Dip fruits in hot water at 48°C for 20 minutes. | 1
Papaya | Internal yellowing | 1
Papaya | Papaya dieback | 2
Papaya | Papaya ringspot | 3
Papaya | Phytophthora fruit rot | 3
Papaya | Powdery mildew | 3
Papaya | Purple stain | 3
Parsley | Bacterial leaf spot and blight | 1
Parsley | Septoria leaf spot | 3
Parsnip | Bacterial blight | 1
Paulownia | Witches'-broom | 1
Pea | Ascochyta disease | 1
Pea | Bacterial blight | 3
Pea | Bacterial wilt | 1
Pea | Powdery mildew | 2
Pea | Septoria blotch | 3
Peach | Apply protective copper before leaf drop and early in the growing season. | 1
Peach | Apply protective copper before leaves fall and again early in the season. | 1
Peach | Bacterial canker | 3
Peach | Bacterial dieback of peach | 1
Peach | Bacterial spot | 3
Peach | Before flowering when environmental conditions favor infection. | 1
Peach | Brown rot | 3
Peach | Crown gall | 3
Peach | Frequent rain during the late bloom and petal fall stage. | 1
Peach | Frequent rainfall during late bloom and petal fall. | 1
Peach | In lesions on twigs and along bark surfaces. | 1
Peach | In twig lesions and on bark surfaces. | 1
Peach | Leaf curl | 3
Peach | Leaves drop prematurely after turning chlorotic. | 1
Peach | Leaves turn yellow and fall off too early. | 1
Peach | Phony disease | 2
Peach | Phytophthora root and crown rot | 1
Peach | Plum pox virus | 2
Peach | Prior to flowering under conditions that encourage infection. | 1
Peach | Rust | 3
Peach | Scab | 3
Peach | Shot hole appearance and premature leaf drop occur. | 1
Peach | Shot hole disease | 3
Peach | Small circular olive spots near the stem that darken and crack. | 1
Peach | Small holes form in the leaves, followed by early leaf drop. | 1
Peach | Small olive-colored spots near the stem that turn dark and crack. | 1
Peach | Through wounds caused by pruning or pests. | 1
Peach | Through wounds made by pruning or insect damage. | 1
Peach | X-disease | 3
Peanut | Bacterial leaf spot | 3
Peanut | Bacterial wilt | 3
Peanut | Cylindrocladium black rot | 3
Peanut | Peanut bud necrosis | 1
Peanut | Rust | 3
Peanut | Sclerotinia blight | 3
Peanut | Southern stem rot | 3
Peanut | Stunt | 3
Peanut | Tomato spotted wilt virus | 3
Peanut | Web blotch | 1
Pear | Bacterial blast | 1
Pear | Crown gall | 1
Pear | Fire blight | 3
Pear | Pear decline | 3
Pearl Millet | Ergot | 2
Pearl Millet | Pearl Millet Downy Mildew | 3
Pearl Millet | Rust | 1
Pearl Millet | Smut | 2
Pearl Millet | Striga or Purple Witchweed [Orobanchaceae] | 1
Pecan | Bacterial leaf scorch | 3
Pecan | Bunch disease | 2
Pecan | Scab | 3
Pecan | Witches'-broom | 1
Pecan | Zonate leaf spot | 3
Pellionia | Bacterial leaf spot | 2
Pepper | Anthracnose | 3
Pepper | Bacterial spot | 3
Pepper | Bacterial wilt | 3
Pepper | Blossom-end rot | 3
Pepper | Cercospora leaf spot | 1
Pepper | Damping-off | 3
Pepper | Phytophthora blight | 3
Pepper | Powdery mildew | 3
Pepper | Southern blight | 3
Pepper | Syringae seedling blight | 1
Pepper | Tomato spotted wilt virus | 3
Persimmon | Bacterial blight | 1
Persimmon | Bacterial leaf spot | 1
Pigeon pea | Witches'-broom | 1
Pineapple | Bacterial heart rot and fruit collapse | 3
Pineapple | Heart leaves that wilt and can be pulled out easily. | 1
Pineapple | Heart leaves wilting and coming out easily when pulled | 1
Pineapple | Mealybug wilt | 1
Pineapple | Phytophthora heart and root rot | 3
Pineapple | Pink disease | 2
Pineapple | Plant in raised beds to improve soil drainage. | 1
Pineapple | Use raised beds to improve drainage | 1
Plum | Bacterial spot | 3
Plum | Black knot | 2
Plum | Brown rot | 1
Plum | Fire blight | 3
Plum | Plum leaf scald | 1
Plum | Plum pox virus | 1
Pluot | Fire blight | 3
Pomegranate | Cercospora fruit spot | 3
Potato | Aster yellows | 3
Potato | Bacteria carried on tubers and spread through wounds. | 1
Potato | Bacteria from infected tubers entering through cut surfaces. | 1
Potato | Bacteria transmitted through injured tubers during handling. | 1
Potato | Bacterial ring rot | 3
Potato | Bacterial soft rot | 3
Potato | Black scurf & Rhizoctonia canker | 3
Potato | Blackleg | 3
Potato | Brown rot | 3
Potato | Common scab | 3
Potato | Dark, water-soaked lesions form near the stem base and may reach the upper parts. | 1
Potato | It overwinters in infected potato debris left in the field. | 1
Potato | It provides overwintering sites for the bacteria, enabling infection of next season’s crops. | 1
Potato | It shortens wet periods that promote bacterial infection. | 1
Potato | Plant only certified seed potatoes. | 1
Potato | Plant seed pieces that are the product of tissue culture. | 1
Potato | Potato Early Blight | 3
Potato | Potato Late Blight | 3
Potato | Potato leaf roll | 2
Potato | Potato virus Y | 2
Potato | Powdery scab | 2
Potato | Small, water-soaked lesions at the base of stems that can extend to the canopy. | 1
Potato | Stems and foliage wilting, beginning with the lower leaves. | 1
Potato | To reduce periods of leaf wetness that favor bacterial infection. | 1
Potato | Tuber-borne bacteria entering through cutting wounds. | 1
Potato | Use only certified seed potatoes for planting. | 1
Potato | Use seed pieces derived from tissue culture to avoid infection. | 1
Potato | Verticillium wilt | 1
Potato | Wilting stems and leaves, with lower leaves wilting first. | 1
Pumpkin | Angular leaf spot | 1
Pumpkin | Bacterial fruit blotch | 3
Pumpkin | Bacterial leaf spot | 3
Pumpkin | Copper-based fungicides used preventatively. | 2
Pumpkin | Downy mildew | 3
Pumpkin | Dry air with limited airflow around plants. | 1
Pumpkin | Dry weather with poor air circulation. | 1
Pumpkin | High temperatures and acidic soil. | 1
Pumpkin | Hot conditions and acidic soil. | 1
Pumpkin | It buries the fungus to reduce surface inoculum. | 2
Pumpkin | Open area with full sun and steady airflow. | 1
Pumpkin | Phytophthora blight | 2
Pumpkin | Powdery mildew | 3
Pumpkin | Site with full sun and good air circulation. | 1
Pumpkin | Southern blight | 3
Pumpkin | Wrap lower stems with aluminum foil. | 1
Pumpkin | Wrapping lower stems with aluminum foil. | 1
Radish | Bacterial leaf spot | 1
Radish | Bacterial soft rot | 1
Radish | White rust | 2
Raspberry | Bacterial blight | 1
Raspberry | Fire blight | 3
Raspberry | Gray mold | 1
Raspberry | Leaf curl | 1
Raspberry | Phytophthora root rot | 3
Raspberry | Raspberry leaf spot | 3
Raspberry | Raspberry mosaic disease | 1
Raspberry | Raspberry ringspot | 3
Raspberry | Spur blight | 3
Raspberry | Yellow rust | 1
Rice | Applying much nitrogen fertilizer. | 1
Rice | Avoiding excessive nitrogen fertilization. | 1
Rice | Avoiding over-fertilizing with nitrogen. | 1
Rice | Bacterial blight | 3
Rice | Bacterial foot rot | 2
Rice | Bacterial leaf spot | 1
Rice | Bacterial leaf streak | 3
Rice | Bacterial palea browning | 2
Rice | Bacterial seedling blight | 3
Rice | Bakanae | 1
Rice | Circular green spots on leaf sheaths. | 1
Rice | Diamond-shaped lesions with dark green borders on the shoot. | 1
Rice | Excess nitrogen levels in the soil. | 1
Rice | Excessive nitrogen fertilization. | 1
Rice | False smut | 3
Rice | Grain rot | 2
Rice | Halo blight | 1
Rice | High humidity and high temperatures. | 1
Rice | High soil nitrogen content. | 1
Rice | Hot and humid conditions. | 1
Rice | Limit nitrogen use to avoid making plants more vulnerable. | 1
Rice | Limit the use of nitrogen-rich fertilizers. | 1
Rice | Narrow leaf spot | 1
Rice | Planting resistant rice varieties and using treated seed. | 1
Rice | Rice blast | 3
Rice | Rice yellow dwarf | 1
Rice | Round green lesions on the leaf sheaths. | 1
Rice | Sheath blight | 3
Rice | Sheath brown rot | 3
Rice | Stem rot | 1
Rice | Treat seeds with hot water at 52°C for 10 minutes. | 1
Rice | Tungro | 3
Rice | Use hot water at 52°C for 10 minutes. | 1
Rice | Use resistant varieties and plant treated seeds. | 1
Rice | Water-soaked streaks between leaf veins that turn light brown. | 1
Rice | Water-soaked streaks between veins that become light brown. | 1
Rice | Water-soaked stripes on leaf blades and yellowing leaves. | 1
Rutabaga | Black rot | 1
Sesame | Bacterial leaf spot | 1
Sorghum | Bacterial leaf blight | 1
Sorghum | Bacterial leaf spot | 2
Sorghum | Bacterial leaf streak | 2
Sorghum | Bacterial leaf stripe | 3
Sorghum | Bacterial stalk and top rot | 2
Soybean | Bacterial blight | 3
Soybean | Bacterial leaf spot | 2
Soybean | Bacterial pustule | 3
Soybean | Frequent rainfall and warm temperatures during growth. | 1
Soybean | Humid and wet conditions with warm temperatures. | 1
Soybean | Rust | 2
Soybean | Space plants in wide rows. | 1
Soybean | Use wide row spacing between plants. | 1
Soybean | Warm, humid, and wet conditions. | 1
Soybean | Warm, rainy conditions during crop growth. | 1
Soybean | Wildfire | 2
Spathiphyllum | Bacterial blight | 1
Squash | Alternaria leaf spot | 1
Squash | Aster yellows | 1
Squash | Bacterial wilt | 3
Squash | Carried by striped cucumber beetles while feeding | 1
Squash | Covering young plants with row cover or insect mesh | 1
Squash | Downy mildew | 3
Squash | High humidity and warm weather | 1
Squash | High humidity and warm weather. | 1
Squash | Humid weather with moderate temperatures | 2
Squash | It blocks water movement inside the plant | 1
Squash | It disrupts water flow through the vascular tissue | 1
Squash | Leaves and vines droop during the day but perk up at night | 1
Squash | Leaves and vines wilt during the day but recover at night | 1
Squash | On air currents and through water droplets | 2
Squash | Phytophthora crown and root rot | 3
Squash | Planting varieties that are resistant to the disease | 1
Squash | Powdery mildew | 3
Squash | Spray fungicides and use resistant plant varieties. | 1
Squash | Squash mosaic | 2
Squash | The leaves will gradually turn yellow and the plant may die. | 1
Squash | The leaves will slowly turn yellow and the plant could die. | 1
Squash | Use fungicide sprays and plant disease-resistant varieties | 1
Squash | Use insect mesh or row covers to block pest access | 1
Squash | Using disease-resistant squash varieties | 1
Squash | Via striped cucumber beetles feeding on leaves | 1
Squash | White powdery spots appearing on leaves | 1
Squash | White powdery spots on the leaves. | 1
Squash | Yellow or tan angular spots on leaf surfaces with grayish undersides | 1
Squash | Yellow or tan angular spots with grayish undersides | 1
Stock | Phytoplasma disease | 1
Strawberry | Angular leaf spot | 3
Strawberry | Anthracnose | 3
Strawberry | Aster yellows | 2
Strawberry | Bacterial wilt | 1
Strawberry | Fumigate or solarize the soil. | 1
Strawberry | Fumigating or solarizing the soil. | 1
Strawberry | Gray mold | 3
Strawberry | Green petal disease | 1
Strawberry | Leaf scorch | 3
Strawberry | Leaf spot | 3
Strawberry | Multiplier disease | 1
Strawberry | Myclobutanil | 2
Strawberry | Myclobutanil fungicide | 1
Strawberry | Phomopsis leaf blight | 3
Strawberry | Plant with good drainage in full sun. | 1
Strawberry | Planting with good drainage in full sun. | 1
Strawberry | Powdery mildew | 1
Strawberry | Red stele | 3
Strawberry | Splashing water. | 2
Strawberry | Strawberry lethal decline | 1
Strawberry | Strawberry yellows | 1
Strawberry | Up to 9 months. | 1
Strawberry | Use certified planting stock and rotate crops. | 2
Strawberry | Wet foliage for extended periods of time. | 2
Sugarcane | Gumming disease | 1
Sugarcane | Leaf scald | 3
Sugarcane | Ratoon stunt | 3
Sugarcane | Red stripe | 1
Sugarcane | Sugarcane dwarf | 1
Sunflower | Alternaria leaf blight | 1
Sunflower | Downy mildew | 2
Sunflower | Phoma blight | 2
Sunflower | Verticillium wilt | 3
Sweet potato | Alternaria leaf spot | 1
Sweet potato | Avoid planting sweet potato in the same field for at least 3–4 years. | 1
Sweet potato | Bacterial stem and root rot | 3
Sweet potato | Black rot | 1
Sweet potato | Sweet potato little leaf | 1
Sweet potato | Sweet potato scab | 2
Sweet potato | Use cuttings taken only from the upper part of the plant. | 1
Sweetgum | Bacterial leaf spot and canker | 2
Tea | Bacterial shoot blight | 1
Tobacco | Angular leaf spot | 3
Tobacco | Bacterial fasciation | 1
Tobacco | Bacterial wilt | 3
Tobacco | Black shank | 3
Tobacco | Blue mold | 3
Tobacco | Broomrape | 3
Tobacco | Collar rot | 3
Tobacco | Frogeye leaf spot | 3
Tobacco | Hollow stalk | 2
Tobacco | Tobacco Leaf Curl disease | 2
Tobacco | Tobacco mosaic | 3
Tobacco | Tomato spotted wilt virus | 3
Tomato | 4 to 6 weeks before the expected fruit harvest. | 1
Tomato | About 4 to 6 weeks before the first fruit harvest | 1
Tomato | Airborne spores and contaminated soil contact | 1
Tomato | Anthracnose | 3
Tomato | At first sign of disease symptoms on the plant. | 1
Tomato | Bacterial canker | 3
Tomato | Bacterial fruit rot | 2
Tomato | Bacterial speck | 3
Tomato | Bacterial spot | 3
Tomato | Bacterial stem rot | 2
Tomato | Bacterial wilt | 3
Tomato | Before canopy becomes too dense | 1
Tomato | Black mold | 3
Tomato | Blossom-end rot | 3
Tomato | Buckeye rot | 3
Tomato | By airborne spores and contact with infested soil. | 1
Tomato | Catface | 3
Tomato | Cool weather combined with crop debris in soil | 1
Tomato | Cool weather combined with crop debris in soil. | 1
Tomato | Early blight | 3
Tomato | Edema | 3
Tomato | Fusarium wilt | 3
Tomato | Gray mold | 3
Tomato | Harvest promptly once fruits ripen | 1
Tomato | Harvest ripe fruits promptly from the vine. | 1
Tomato | High humidity in the growing environment | 1
Tomato | High relative humidity in the growing area. | 1
Tomato | It spreads via water splash and persists in plant debris. | 1
Tomato | Just before canopy becomes dense and reduces airflow. | 1
Tomato | Late blight | 3
Tomato | Leaf Mold | 3
Tomato | Lime the soil to boost calcium availability | 1
Tomato | Lime the soil to increase calcium availability. | 1
Tomato | Little leaf | 3
Tomato | Magnesium deficiency | 1
Tomato | Pith necrosis | 2
Tomato | Rotate to non-solanaceous crops | 1
Tomato | Rotate to non-solanaceous crops to break the disease cycle. | 1
Tomato | Septoria leaf spot | 3
Tomato | Spread by water splash and survives in crop debris | 1
Tomato | Sunscald | 3
Tomato | Syringae leaf spot | 1
Tomato | Target Spot | 1
Tomato | Tomato Yellow Leaf Curl disease | 3
Tomato | Tomato big bud | 3
Tomato | Tomato mosaic virus | 3
Tomato | Tomato spotted wilt | 3
Tomato | Use sprinkler irrigation frequently during fruit ripening. | 1
Tomato | Use sprinklers often while fruits are ripening | 1
Tomato | Verticillium wilt | 3
Tomato | Water stress | 2
Tomato | When early symptoms first appear on the plant | 1
Tomato | Wounds in plant tissues that let the pathogen in | 1
Tomato | Wounds on plant tissues that allow pathogen entry. | 1
Tomato | Yellowing and wilting on one side of the plant | 1
Tomato | Yellowing and wilting only on one side of the plant. | 1
Tomato | Zippering | 2
Turnip | Alternaria leaf spot | 1
Turnip | Anthracnose | 1
Turnip | Bacterial leaf spot | 1
Turnip | Bacterial soft rot | 1
Turnip | Cercospora leaf spot | 1
Turnip | Clubroot | 1
Turnip | Sclerotinia rot | 2
Turnip | Turnip mosaic | 3
Verbena | Bacterial leaf spot | 1
Walnut | Anthracnose | 1
Walnut | Avoid wetting foliage when irrigating trees. | 1
Walnut | Bunch disease | 3
Walnut | Deep bark canker | 3
Walnut | It delays leaf maturity and reduces lesion development. | 1
Walnut | Shallow bark canker | 3
Walnut | Walnut blight | 3
Wasabi | Bacterial soft rot | 3
Watercress | Aster yellows | 1
Watermelon | Alternaria leaf spot | 3
Watermelon | Anthracnose | 3
Watermelon | Avoid overhead watering and irrigate at the plant base. | 1
Watermelon | Bacterial fruit blotch | 3
Watermelon | Bacterial leaf and stem necrosis | 1
Watermelon | By water splash and windborne spores. | 1
Watermelon | Downy mildew | 3
Watermelon | Dry air with high relative humidity. | 1
Watermelon | Fusarium wilt | 3
Watermelon | Gummy stem blight | 3
Watermelon | It spreads through infected seed, water, or contaminated equipment. | 1
Watermelon | Powdery mildew | 3
Watermelon | Retain more soil moisture by selecting heavier soils. | 1
Watermelon | Rotate with non-cucurbit crops for at least two years | 1
Watermelon | Rotate with non-cucurbit crops for at least two years. | 1
Watermelon | Splashing water or wind carrying spores | 1
Watermelon | Via wind and rain splash from infected debris. | 1
Watermelon | Water at the base instead of spraying over the leaves | 1
Wheat | Aster yellows | 1
Wheat | Bacterial leaf blight | 3
Wheat | Bacterial mosaic | 1
Wheat | Barley yellow dwarf | 3
Wheat | Basal glume rot | 1
Wheat | Black chaff | 3
Wheat | Burying infected plants to prevent insect feeding. | 1
Wheat | Damp conditions and moderately warm temperatures at flowering. | 1
Wheat | Eyespot | 2
Wheat | Fungicides help control other leaf diseases that threaten grain quality and yield. | 2
Wheat | Fusarium head blight | 3
Wheat | Moist air and warm weather during flowering | 1
Wheat | Powdery mildew | 2
Wheat | Rainy or humid days after flowering | 1
Wheat | Removing perennial weeds from the field. | 1
Wheat | Rusts | 3
Wheat | Tan spot | 1
Wheat | Use fungicides made to control this disease | 1
Wheat | Using fungicides that target Fusarium head blight. | 1
Wheat | Wet conditions following flowering. | 1
Wheatgrass | Black chaff | 2
Willow | Bacterial wilt and dieback | 2
Willow | Slime flux | 1
Willow | Witches'-broom | 1
Yam bean | Halo blight | 1
Yams | Anthracnose | 2
Yams | Burn or remove infected plant debris after harvest. | 1
Yams | Control aphid populations and avoid planting infected tubers. | 1
Yams | Destroy or remove infected plant parts after harvest. | 1
Yams | Keep the field free from weeds and destroy plant residues. | 1
Yams | Manage aphids and avoid using infected planting material. | 1
Yams | Mosaic disease | 3
Yams | Remove weeds regularly and clear out leftover plant material. | 1
Yams | Select healthy and large tubers instead of small ones. | 2
Yams | Use undersized seed pieces to increase plant density | 1
